country_code,rome-1960,tokyo-1964,mexico-city-1968,munich-1972,montreal-1976,moscow-1980,los-angeles-1984,seoul-1988,barcelona-1992,atlanta-1996,sydney-2000,athens-2004,beijing-2008,london-2012,rio-2016,tokyo-2020,paris-2024
SG,5,0,4,7,4,0,5,8,14,14,14,16,25,23,25,23,22
SI,0,0,0,0,0,0,0,0,35,37,74,79,61,65,61,53,84
SK,0,0,0,0,0,0,0,0,0,71,108,64,57,47,51,41,23
SL,0,0,3,0,0,14,7,12,11,14,3,2,3,2,4,4,0
SM,9,0,4,7,10,16,19,11,17,7,4,5,4,4,4,5,3
SN,0,12,21,38,21,32,24,23,20,11,26,15,15,31,22,9,7
SO,0,0,0,3,0,0,7,5,0,4,2,2,2,2,2,2,0
SR,0,0,1,2,3,0,5,6,0,7,4,4,4,5,6,3,3
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12
ST,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,3,0
SU,283,317,312,371,410,490,0,481,0,0,0,0,0,0,0,0,0
SV,0,0,60,11,0,0,10,6,4,8,8,7,11,10,8,5,6
SY,0,0,2,5,0,67,9,13,8,7,8,6,7,10,7,6,3
SZ,0,0,0,2,0,0,8,11,6,6,6,3,4,3,2,4,0
TD,0,2,3,4,0,0,3,6,6,4,2,1,2,3,2,3,3
TG,0,0,0,7,0,0,6,6,6,5,3,3,4,6,5,4,2
TH,20,54,41,33,42,0,35,14,46,37,52,42,47,37,54,42,47
TJ,0,0,0,0,0,0,0,0,0,8,4,9,15,16,7,11,11
TL,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,1
TM,0,0,0,0,0,0,0,0,0,7,8,9,10,10,9,9,3
TN,42,9,7,35,15,0,23,41,13,51,47,54,26,83,61,62,25
TO,0,0,0,0,0,0,7,5,5,5,3,5,3,3,7,6,2
TR,49,23,29,43,27,0,46,41,41,53,57,64,67,114,103,108,89
TT,0,13,19,19,13,9,16,6,7,12,19,19,28,30,32,22,13
TV,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0
TW,27,40,43,21,0,0,38,61,31,74,55,88,79,44,60,403,52
TZ,0,4,4,15,0,41,18,10,9,7,4,8,9,7,7,3,4
UA,0,0,0,0,0,0,0,0,0,231,230,239,243,237,203,155,126
UG,10,13,11,33,0,13,26,24,8,10,13,11,11,16,21,25,18
UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,36
US,292,346,357,400,396,0,522,527,545,646,586,533,588,530,554,615,590
UY,34,23,27,13,9,0,18,15,16,14,15,15,12,29,17,11,21
UZ,0,0,0,0,0,0,0,0,0,71,70,69,56,54,70,65,80
VC,0,0,0,0,0,0,0,6,6,8,4,3,2,3,4,3,1
VE,36,16,23,23,32,37,26,17,26,39,50,48,108,70,87,44,30
VG,0,0,0,0,0,0,9,3,4,7,1,1,2,2,4,3,2
VI,0,0,6,16,21,0,29,22,25,12,9,6,7,7,7,4,3
VN,3,16,9,2,0,30,0,9,7,6,7,11,13,18,23,18,14
VU,0,0,0,0,0,0,0,4,6,4,3,2,3,5,4,3,3
WS,0,0,0,0,0,0,8,11,5,5,5,3,6,8,8,8,22
XK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,6
YD,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
YE,0,0,0,0,0,0,2,8,8,4,2,3,5,4,3,5,2
YU,116,75,69,126,88,164,139,155,0,68,109,0,0,0,0,0,0
ZA,55,0,0,0,0,0,0,0,93,84,127,106,134,125,137,177,140
ZM,0,12,7,11,0,37,16,29,9,8,8,6,8,7,7,26,22
ZW,14,29,0,0,0,42,15,29,19,13,16,12,13,7,31,5,5
